max_lost,loser_name,nemesis
8,Alexander Zverev,Dominic Thiem
1,Jeff Greenwald,Sem Verbeek
1,Agustin Moreno,Caio Zampieri
1,Agustin Moreno,Mohamed Safwat
1,Agustin Moreno,Antonio Ruiz Rosales
1,Martin Damm,Jenson Brooksby
1,Martin Damm,Mario Vilella Martinez
1,Martin Damm,Michael Mmoh
1,Martin Damm,Stefan Kozlov
1,Martin Damm,Tim Van Rijthoven
1,Wei Yu Su,Toshihide Matsui
1,Gergely Kisgyorgy,Mohamed Safwat
1,Nenad Zimonjic,Albert Ramos
1,Nenad Zimonjic,Sanjar Fayziev
1,Nenad Zimonjic,Daniil Medvedev
1,Takao Suzuki,Shunrou Takeshima
1,Frank Moser,Sergiy Stakhovsky
1,Frank Moser,Sam Groth
1,Frank Moser,Liam Broady
1,Frank Moser,Diego Schwartzman
1,Frank Moser,Igor Zelenay
1,Frank Moser,Gianluigi Quinzi
1,Robert Lindstedt,Jared Donaldson
1,Andre Sa,Cameron Norrie
1,Andre Sa,Nicolas Jarry
1,Alejandro Hernandez,Ernesto Escobedo
1,Konstantinos Economidis,Nathanael Consalvo
1,Konstantinos Economidis,Greg Jones
1,Konstantinos Economidis,Jarryd Chaplin
2,Ruben Ramirez Hidalgo,Kamil Majchrzak
2,Ruben Ramirez Hidalgo,Aleksandr Nedovyesov
2,Ruben Ramirez Hidalgo,Victor Estrella
2,Tommy Haas,Jan Lennard Struff
3,Toshihide Matsui,Sasi Kumar Mukund
2,Radek Stepanek,Andy Murray
2,Radek Stepanek,Nick Kyrgios
2,Radek Stepanek,Novak Djokovic
1,Alessandro Motti,Matteo Arnaldi
1,Alessandro Motti,Facundo Bagnis
1,Alessandro Motti,Emilio Gomez
3,Ivo Karlovic,Jordan Thompson
3,Ivo Karlovic,Vasek Pospisil
3,Ivo Karlovic,Aljaz Bedene
3,Ivo Karlovic,Gael Monfils
3,Ivo Karlovic,Peter Gojowczyk
3,Ivo Karlovic,Bjorn Fratangelo
3,Ivo Karlovic,Grigor Dimitrov
1,Jan Hernych,Lukas Lacko
1,Jan Hernych,Andreas Beck
1,Jan Hernych,Dudi Sela
1,Jan Hernych,Adam Pavlasek
1,Jan Hernych,Brian Baker
1,Jan Hernych,Henri Laaksonen
1,Jan Hernych,Joao Souza
1,Jan Hernych,Marco Chiudinelli
1,Jan Hernych,James Ward
1,Brian Battistone,Patrick Kawka
1,Brian Battistone,Stefan Kozlov
1,Aqeel Khan,Denis Istomin
1,Aqeel Khan,Ze Zhang
1,Rohan Bopanna,Christopher Eubanks
1,Aisam Ul Haq Qureshi,Taylor Fritz
1,Aisam Ul Haq Qureshi,Finn Tearney
1,Aisam Ul Haq Qureshi,Denis Istomin
1,Aisam Ul Haq Qureshi,Wishaya Trongcharoenchaikul
1,David Marrero,Maxime Tabatruong
3,Stephane Robert,Albert Ramos
1,Teodor Dacian Craciun,Vlad Victor Cornea
2,Michael Berrer,Benjamin Becker
1,Michael Quintero,Sergio Luis Hernandez Ramirez
1,Michael Quintero,Marcelo Zormann Da Silva
1,Michael Quintero,Federico Zeballos
1,Michael Quintero,Gonzalo Lama
1,Michael Quintero,Fernando Romboli
1,Oliver Marach,Marco Chiudinelli
1,Oliver Marach,Steven Diez
1,Mohammad Ghareeb,Ruben Gonzales
4,Victor Estrella,Marcelo Arevalo
