player_id,name,hand,ht,country_id,gender,yob
105453,Kei Nishikori,R,178,JPN,M,1990-01-05
106421,Daniil Medvedev,R,198,RUS,M,1996-02-17
104542,Jo-Wilfried Tsonga,R,188,FRA,,1985-04-25
104871,Jeremy Chardy,R,188,FRA,M,1987-02-20
200282,Alex De Minaur,R,183,AUS,M,1999-02-22
105683,Milos Raonic,R,196,CAN,M,1991-01-03
106034,Yasutaka Uchiyama,R,,JPN,M,1992-08-12
105777,Grigor Dimitrov,R,188,BUL,M,1991-05-23
106121,Taro Daniel,R,,JPN,M,1993-02-02
111442,Jordan Thompson,R,183,AUS,M,1994-04-26
104918,Andy Murray,R,190,GBR,M,1987-05-23
200175,Miomir Kecmanovic,R,183,SRB,M,1999-09-05
106401,Nick Kyrgios,R,193,AUS,M,1995-05-03
106378,Kyle Edmund,R,188,GBR,M,1995-01-14
105357,John Millman,R,183,AUS,M,1989-06-21
106045,Denis Kudla,R,180,USA,M,1992-08-24
106423,Thanasi Kokkinakis,R,,AUS,M,1996-04-16
106109,Alex Bolt,L,,AUS,M,1993-01-11
200615,Alexei Popyrin,R,196,AUS,M,1999-08-10
105902,James Duckworth,R,183,AUS,M,1992-01-28
104919,Leonardo Mayer,R,188,ARG,M,1987-05-23
105379,Aljaz Bedene,R,181,SLO,M,1989-07-25
105992,Ryan Harrison,R,183,USA,M,1992-05-14
105526,Jan Lennard Struff,R,193,GER,M,1990-05-02
200005,Ugo Humbert,L,188,FRA,M,1998-07-01
106415,Yoshihito Nishioka,L,170,JPN,M,1995-10-03
105815,Tennys Sandgren,R,188,USA,M,1991-07-29
126203,Taylor Fritz,R,193,USA,,1997-11-02
215018,Destanee Aiava,R,,AUS,F,2000-05-15
201540,Kristina Mladenovic,R,184,FRA,F,1993-05-20
211279,Harriet Dart,R,,GBR,F,1996-08-03
211880,Priscilla Hon,R,,AUS,F,1998-05-15
201545,Anastasija Sevastova,R,,LAT,F,1990-04-20
201611,Daria Gavrilova,R,166,AUS,F,1994-03-11
201520,Petra Kvitova,L,183,CZE,F,1990-03-15
203389,Danielle Rose Collins,R,178,USA,F,1993-12-19
204426,Anett Kontaveit,R,174,EST,F,1995-12-30
201521,Carla Suarez Navarro,R,162,ESP,F,1988-09-11
